RefDes,Name,Pattern,X (in),Y (in),Side,Rotate,Value
C1,CAP_NP_1206,CAP_1206,0.3926,0.7375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,0.2051,0.35,Top,0,10uF
C3,CAP_0805,CAP_0603,0.396,0.3375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,0.3017,0.1598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,0.3142,0.5594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,0.9926,0.7375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,0.8051,0.35,Top,0,10uF
C3,CAP_0805,CAP_0603,0.996,0.3375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,0.9017,0.1598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,0.9142,0.5594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,1.5926,0.7375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,1.4051,0.35,Top,0,10uF
C3,CAP_0805,CAP_0603,1.596,0.3375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,1.5017,0.1598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,1.5142,0.5594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,2.1926,0.7375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,2.0051,0.35,Top,0,10uF
C3,CAP_0805,CAP_0603,2.196,0.3375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,2.1017,0.1598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,2.1142,0.5594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,2.7926,0.7375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,2.6051,0.35,Top,0,10uF
C3,CAP_0805,CAP_0603,2.796,0.3375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,2.7017,0.1598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,2.7142,0.5594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,0.3926,1.5375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,0.2051,1.15,Top,0,10uF
C3,CAP_0805,CAP_0603,0.396,1.1375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,0.3017,0.9598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,0.3142,1.3594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,0.9926,1.5375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,0.8051,1.15,Top,0,10uF
C3,CAP_0805,CAP_0603,0.996,1.1375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,0.9017,0.9598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,0.9142,1.3594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,1.5926,1.5375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,1.4051,1.15,Top,0,10uF
C3,CAP_0805,CAP_0603,1.596,1.1375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,1.5017,0.9598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,1.5142,1.3594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,2.1926,1.5375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,2.0051,1.15,Top,0,10uF
C3,CAP_0805,CAP_0603,2.196,1.1375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,2.1017,0.9598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,2.1142,1.3594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,2.7926,1.5375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,2.6051,1.15,Top,0,10uF
C3,CAP_0805,CAP_0603,2.796,1.1375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,2.7017,0.9598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,2.7142,1.3594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,0.3926,2.3375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,0.2051,1.95,Top,0,10uF
C3,CAP_0805,CAP_0603,0.396,1.9375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,0.3017,1.7598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,0.3142,2.1594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,0.9926,2.3375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,0.8051,1.95,Top,0,10uF
C3,CAP_0805,CAP_0603,0.996,1.9375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,0.9017,1.7598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,0.9142,2.1594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,1.5926,2.3375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,1.4051,1.95,Top,0,10uF
C3,CAP_0805,CAP_0603,1.596,1.9375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,1.5017,1.7598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,1.5142,2.1594,Top,0,3.3V
C1,CAP_NP_1206,CAP_1206,2.1926,2.3375,Top,0,10uF
C2,CAP_NP_1206,CAP_1206,2.0051,1.95,Top,0,10uF
C3,CAP_0805,CAP_0603,2.196,1.9375,Top,0,100nF
U1,SN74ACT245DW,TSSOP-20,2.1017,1.7598,Top,0,74ACT245
U2,LM7805_SOT223,SOT223-4,2.1142,2.1594,Top,0,3.3V
